--- PART A: Clean Implementation ---
h          D_1(h)               error(D_1)           D_2(h)               error(D_2)          
1.00000e-01  3.061511866568116e+00 4.025452726793510e-02  3.144276040634559e+00 4.250964679850799e-02
3.16228e-02  3.097641949932164e+00 4.124443903887443e-03  3.105913377359279e+00 4.146983523227288e-03
1.00000e-02  3.101352937655877e+00 4.134561801745207e-04  3.102180075411270e+00 4.136815752189271e-04
3.16228e-03  3.101725038077702e+00 4.135575834984806e-05  3.101807751848301e+00 4.135801225002567e-05
1.00000e-03  3.101762258157947e+00 4.135678103978080e-06  3.101770529535849e+00 4.135699797735981e-06
3.16228e-04  3.101765980267182e+00 4.135688689288486e-07  3.101766807405016e+00 4.135689644080287e-07
1.00000e-04  3.101766352480162e+00 4.135588937970169e-08  3.101766435192939e+00 4.135688769224544e-08
3.16228e-05  3.101766389709007e+00 4.127044039847760e-09  3.101766397971741e+00 4.135689568585121e-09
1.00000e-05  3.101766393398541e+00 4.375100282061339e-10  3.101766394249621e+00 4.135691789031171e-10
3.16228e-06  3.101766393837748e+00 1.696420781627239e-12  3.101766393877411e+00 4.135936038096588e-11
1.00000e-06  3.101766393731609e+00 1.044426767293771e-10  3.101766393840188e+00 4.136690989753333e-12
3.16228e-07  3.101766392644064e+00 1.191986953585911e-09  3.101766393836468e+00 4.165556788393587e-13
1.00000e-07  3.101766394841832e+00 1.005780347895779e-09  3.101766393836093e+00 4.130029651605582e-14
3.16228e-08  3.101766396857065e+00 3.021013217363588e-09  3.101766393836056e+00 4.440892098500626e-15
1.00000e-08  3.101766399282724e+00 5.446672446396406e-09  3.101766393836055e+00 3.552713678800501e-15
3.16228e-09  3.101766600485405e+00 2.066493540731074e-07  3.101766393836054e+00 2.220446049250313e-15
1.00000e-09  3.101766399282724e+00 5.446672446396406e-09  3.101766393836054e+00 2.664535259100376e-15
3.16228e-10  3.101765898318712e+00 4.955173396048451e-07  3.101766393836053e+00 1.776356839400250e-15
1.00000e-10  3.101758849766156e+00 7.544069895004668e-06  3.101766393836054e+00 2.220446049250313e-15
3.16228e-11  3.101765196152018e+00 1.197684033282798e-06  3.101766393836053e+00 1.776356839400250e-15
1.00000e-11  3.101785495118747e+00 1.910128269599909e-05  3.101766393836054e+00 2.664535259100376e-15
3.16228e-12  3.101680936148772e+00 8.545768727907799e-05  3.101766393836053e+00 1.776356839400250e-15
1.00000e-12  3.101519041592837e+00 2.473522432140385e-04  3.101766393836053e+00 1.776356839400250e-15
3.16228e-13  3.102874619528088e+00 1.108225692036946e-03  3.101766393836054e+00 3.108624468950438e-15
1.00000e-13  3.097522238704187e+00 4.244155131864602e-03  3.101766393836053e+00 1.776356839400250e-15
3.16228e-14  3.103576786221804e+00 1.810392385752202e-03  3.101766393836055e+00 3.552713678800501e-15
1.00000e-14  3.108624468950438e+00 6.858075114386963e-03  3.101766393836054e+00 3.108624468950438e-15
3.16228e-15  3.159750121719031e+00 5.798372788297934e-02  3.101766393836053e+00 1.776356839400250e-15
1.00000e-15  3.108624468950438e+00 6.858075114386519e-03  3.101766393836054e+00 2.664535259100376e-15
3.16228e-16  2.808666774861361e+00 2.930996189746904e-01  3.101766393836055e+00 3.552713678800501e-15
1.00000e-16  4.440892098500626e+00 1.339125704664575e+00  3.101766393836054e+00 2.220446049250313e-15

--- PART B: Polluted Implementation ---
h          D_1(h)               error(D_1)           D_2(h)               error(D_2)          
1.00000e-01  3.061511866568116e+00 4.025452726793510e-02  3.144276040634559e+00 4.250964679850799e-02
3.16228e-02  3.097641949932164e+00 4.124443903887443e-03  3.105913377359279e+00 4.146983523227732e-03
1.00000e-02  3.101352937655877e+00 4.134561801745207e-04  3.102180075411270e+00 4.136815752189271e-04
3.16228e-03  3.101725038077702e+00 4.135575834984806e-05  3.101807751848302e+00 4.135801225046976e-05
1.00000e-03  3.101762258157947e+00 4.135678103978080e-06  3.101770529535849e+00 4.135699797735981e-06
3.16228e-04  3.101765980267182e+00 4.135688689288486e-07  3.101766807405016e+00 4.135689644080287e-07
1.00000e-04  3.101766352480162e+00 4.135588937970169e-08  3.101766435192938e+00 4.135688680406702e-08
3.16228e-05  3.101766389709007e+00 4.127044039847760e-09  3.101766397971741e+00 4.135690012674331e-09
1.00000e-05  3.101766393398541e+00 4.375100282061339e-10  3.101766394249621e+00 4.135691789031171e-10
3.16228e-06  3.101766393837748e+00 1.696420781627239e-12  3.101766393877411e+00 4.135936038096588e-11
1.00000e-06  3.101766393731609e+00 1.044426767293771e-10  3.101766393840188e+00 4.136246900543483e-12
3.16228e-07  3.101766392644064e+00 1.191986953585911e-09  3.101766393836469e+00 4.174438572590589e-13
1.00000e-07  3.101766394841832e+00 1.005780347895779e-09  3.101766393836093e+00 4.130029651605582e-14
3.16228e-08  3.101766396857065e+00 3.021013217363588e-09  3.101766393836056e+00 4.440892098500626e-15
1.00000e-08  3.101766399282724e+00 5.446672446396406e-09  3.101766393836056e+00 4.440892098500626e-15
3.16228e-09  3.101766600485405e+00 2.066493540731074e-07  3.101766393836054e+00 2.220446049250313e-15
1.00000e-09  3.101766399282724e+00 5.446672446396406e-09  3.101766393836054e+00 2.664535259100376e-15
3.16228e-10  3.101765898318712e+00 4.955173396048451e-07  3.101766393836053e+00 1.776356839400250e-15
1.00000e-10  3.101758849766156e+00 7.544069895004668e-06  3.101766393836054e+00 2.220446049250313e-15
3.16228e-11  3.101765196152018e+00 1.197684033282798e-06  3.101766393836053e+00 1.776356839400250e-15
1.00000e-11  3.101785495118747e+00 1.910128269599909e-05  3.101766393836054e+00 2.664535259100376e-15
3.16228e-12  3.101680936148772e+00 8.545768727907799e-05  3.101766393836054e+00 2.220446049250313e-15
1.00000e-12  3.101519041592837e+00 2.473522432140385e-04  3.101766393836053e+00 1.776356839400250e-15
3.16228e-13  3.102874619528088e+00 1.108225692036946e-03  3.101766393836055e+00 3.996802888650564e-15
1.00000e-13  3.097522238704187e+00 4.244155131864602e-03  3.101766393836054e+00 2.664535259100376e-15
3.16228e-14  3.103576786221804e+00 1.810392385752202e-03  3.101766393836055e+00 3.552713678800501e-15
1.00000e-14  3.108624468950438e+00 6.858075114386963e-03  3.101766393836054e+00 2.220446049250313e-15
3.16228e-15  3.159750121719031e+00 5.798372788297934e-02  3.101766393836053e+00 1.776356839400250e-15
1.00000e-15  3.108624468950438e+00 6.858075114386519e-03  3.101766393836054e+00 2.664535259100376e-15
3.16228e-16  2.808666774861361e+00 2.930996189746904e-01  3.101766393836055e+00 3.996802888650564e-15
1.00000e-16  4.440892098500626e+00 1.339125704664575e+00  3.101766393836053e+00 1.332267629550188e-15
